domain,expected_count,sitemap_count,matches,missing,recall,status
4lapy.ru,89,51432,89,0,100.0,success
apteka-april.ru,72,61793,72,0,100.0,success
coolclever.ru,91,6579,91,0,100.0,success
askona.ru,84,7194,13,71,15.476190476190476,success
av.ru,100,115736,100,0,100.0,success
asna.ru,7,132151,2,5,28.57142857142857,success
divan.ru,100,142657,12,88,12.0,success
exist.ru,100,527332,81,19,81.0,success
citilink.ru,93,488515,93,0,100.0,success
goldapple.ru,99,449318,92,7,92.92929292929293,success
etm.ru,100,1311847,97,3,97.0,success
dns-shop.ru,100,1094443,100,0,100.0,success
eapteka.ru,100,6717581,89,11,89.0,success
farmlend.ru,100,5883598,86,14,86.0,success
autodoc.ru,100,5177780,63,37,63.0,success
eldorado.ru,84,1218636,84,0,100.0,success
chipdip.ru,100,10000000,57,43,56.99999999999999,success
gorzdrav.org,100,10000000,38,62,38.0,success
limestore.com,93,7340,39,54,41.935483870967744,success
pm.ru,51,34603,51,0,100.0,success
ostin.com,60,22156,52,8,86.66666666666667,success
sokolov.ru,93,50279,90,3,96.7741935483871,success
sunlight.net,56,41677,31,25,55.35714285714286,success
officemag.ru,88,151675,78,10,88.63636363636364,success
petrovich.ru,14,94261,13,1,92.85714285714286,success
budzdorov.ru,11,104659,0,11,0.0,success
emex.ru,100,50,0,100,0.0,success
hoff.ru,94,268800,70,24,74.46808510638297,success
komus.ru,100,263495,6,94,6.0,success
chitai-gorod.ru,100,1060452,93,7,93.0,success
kuper.ru,100,2106466,11,89,11.0,success
lamoda.ru,100,722240,51,49,51.0,success
lavka.yandex.ru,94,67034,7,87,7.446808510638298,success
lenta.com,100,145560,100,0,100.0,success
labirint.ru,99,1298017,9,90,9.090909090909092,success
letu.ru,96,626602,88,8,91.66666666666666,success
miuz.ru,92,15748,89,3,96.73913043478261,success
megapteka.ru,100,2920894,87,13,87.0,success
zdravcity.ru,84,89,0,84,0.0,success
zhivika.ru,27,484,0,27,0.0,success
rbt.ru,2,14784,1,1,50.0,success
myspar.ru,99,67183,80,19,80.8080808080808,success
sima-land.ru,100,453391,30,70,30.0,success
vseinstrumenti.ru,100,3698131,20,80,20.0,success
xcom-shop.ru,87,172390,71,16,81.60919540229885,success
shoppinglive.ru,70,68322,56,14,80.0,success
rivegauche.ru,99,65265,98,1,98.98989898989899,success
randewoo.ru,100,109779,99,1,99.0,success
vprok.ru,100,113753,4,96,4.0,success
uteka.ru,11,136496,11,0,100.0,success
shop.mts.ru,100,96897,92,8,92.0,success
vkusvill.ru,99,24150,67,32,67.67676767676768,success
sportmaster.ru,87,319205,44,43,50.57471264367817,success
rendez-vous.ru,7,77797,5,2,71.42857142857143,success
perekrestok.ru,100,315798,94,6,94.0,success
santehnika-online.ru,31,439360,0,31,0.0,success
holodilnik.ru,100,179085,94,6,94.0,success
regard.ru,100,209184,98,2,98.0,success
stockmann.ru,8,734656,8,0,100.0,success
okeydostavka.ru,100,5775,0,100,0.0,success
stolichki.ru,100,3121571,84,16,84.0,success
vitaexpress.ru,100,563402,99,1,99.0,success
mvideo.ru,100,7305199,94,6,94.0,success
planetazdorovo.ru,100,16476529,13,87,13.0,success
leroymerlin.ru,0,0,0,0,0.0,no_data
metro-cc.ru,0,0,0,0,0.0,no_data
zdorov.ru,100,0,0,100,0.0,empty_sitemap
faberlic.com,100,0,0,100,0.0,empty_sitemap
onlinetrade.ru,100,0,0,100,0.0,empty_sitemap
detmir.ru,97,0,0,97,0.0,empty_sitemap
petshop.ru,80,0,0,80,0.0,empty_sitemap
5ka.ru,100,0,0,100,0.0,empty_sitemap
samokat.ru,96,0,0,96,0.0,empty_sitemap
shop.megafon.ru,0,0,0,0,0.0,no_data
tsum.ru,42,594313,40,2,95.23809523809523,success
auchan.ru,94,0,0,94,0.0,empty_sitemap
rigla.ru,6,100572,0,6,0.0,success
kazanexpress.ru,0,0,0,0,0.0,no_data
shinservice.ru,3,0,0,3,0.0,empty_sitemap
585zolotoy.ru,99,0,0,99,0.0,empty_sitemap
rs24.ru,100,0,0,100,0.0,empty_sitemap
re-store.ru,74,13,0,74,0.0,success
chikiriki.ru,0,0,0,0,0.0,no_data
winelab.ru,100,3027,13,87,13.0,success
pitergsm.ru,96,11234,0,96,0.0,success
minicen.ru,100,0,0,100,0.0,empty_sitemap
nonton.ru,3,19557,3,0,100.0,success
magnit.ru,0,0,0,0,0.0,no_data
kolesa-darom.ru,0,0,0,0,0.0,no_data
apteka.ru,100,0,0,100,0.0,empty_sitemap
flowwow.com,100,3911165,17,83,17.0,success
technopark.ru,24,411389,22,2,91.66666666666666,success
aptekiplus.ru,100,50000389,26,74,26.0,success
mosautoshina.ru,100,26969884,0,100,0.0,success
