domain,expected_count,sitemap_count,matches,missing,recall,status
4lapy.ru,89,51432,89,0,100.0,success
apteka-april.ru,72,61793,72,0,100.0,success
coolclever.ru,91,6579,91,0,100.0,success
askona.ru,84,7194,13,71,15.476190476190476,success
av.ru,100,115736,100,0,100.0,success
divan.ru,100,142657,12,88,12.0,success
exist.ru,100,527332,81,19,81.0,success
citilink.ru,93,488515,93,0,100.0,success
goldapple.ru,99,449318,92,7,92.92929292929293,success
etm.ru,100,1311847,97,3,97.0,success
dns-shop.ru,100,1094443,100,0,100.0,success
eapteka.ru,100,6717581,89,11,89.0,success
farmlend.ru,100,5883598,86,14,86.0,success
autodoc.ru,100,5177780,63,37,63.0,success
eldorado.ru,84,1218636,84,0,100.0,success
limestore.com,93,7340,39,54,41.935483870967744,success
pm.ru,51,34603,51,0,100.0,success
ostin.com,60,22156,52,8,86.66666666666667,success
sokolov.ru,93,50279,90,3,96.7741935483871,success
sunlight.net,56,41677,31,25,55.35714285714286,success
officemag.ru,88,151675,78,10,88.63636363636364,success
petrovich.ru,14,94261,13,1,92.85714285714286,success
5ka.ru,100,0,0,100,0.0,empty_sitemap
585zolotoy.ru,99,0,0,99,0.0,empty_sitemap
auchan.ru,94,0,0,94,0.0,empty_sitemap
faberlic.com,100,0,0,100,0.0,empty_sitemap
detmir.ru,97,0,0,97,0.0,empty_sitemap
hoff.ru,94,268800,70,24,74.46808510638297,success
holodilnik.ru,100,0,0,100,0.0,empty_sitemap
komus.ru,100,263495,6,94,6.0,success
chitai-gorod.ru,100,1060452,93,7,93.0,success
kuper.ru,100,2106466,11,89,11.0,success
lamoda.ru,100,722240,51,49,51.0,success
lenta.com,100,145560,100,0,100.0,success
labirint.ru,99,1298017,9,90,9.090909090909092,success
letu.ru,96,626602,88,8,91.66666666666666,success
minicen.ru,100,0,0,100,0.0,empty_sitemap
miuz.ru,92,15748,89,3,96.73913043478261,success
megapteka.ru,100,2920894,87,13,87.0,success
