domain,expected_count,sitemap_count,matches,missing,recall,status
re-store.ru,74,13,0,74,0.0,success
emex.ru,100,25,0,100,0.0,success
zdravcity.ru,84,89,0,84,0.0,success
zhivika.ru,27,2202342,20,7,74.07407407407408,success
winelab.ru,100,3027,13,87,13.0,success
okeydostavka.ru,100,5734,0,100,0.0,success
coolclever.ru,91,6643,91,0,100.0,success
askona.ru,84,0,0,84,0.0,empty_sitemap
limestore.com,93,7143,34,59,36.55913978494624,success
pitergsm.ru,96,6401,0,96,0.0,success
rbt.ru,2,14775,1,1,50.0,success
miuz.ru,92,15749,86,6,93.47826086956522,success
nonton.ru,3,19542,3,0,100.0,success
ostin.com,60,12730,52,8,86.66666666666667,success
vkusvill.ru,99,24081,65,34,65.65656565656566,success
pm.ru,51,38229,50,1,98.0392156862745,success
sunlight.net,56,35643,30,26,53.57142857142857,success
sokolov.ru,93,49901,89,4,95.6989247311828,success
rigla.ru,6,3,0,6,0.0,success
rivegauche.ru,99,75219,98,1,98.98989898989899,success
lavka.yandex.ru,94,0,0,94,0.0,empty_sitemap
myspar.ru,99,0,0,99,0.0,empty_sitemap
shoppinglive.ru,70,69181,56,14,80.0,success
rendez-vous.ru,7,78319,5,2,71.42857142857143,success
petrovich.ru,14,96569,14,0,100.0,success
shop.mts.ru,100,97303,92,8,92.0,success
budzdorov.ru,11,3,0,11,0.0,success
randewoo.ru,100,110120,99,1,99.0,success
vprok.ru,100,108972,4,96,4.0,success
av.ru,100,115775,100,0,100.0,success
asna.ru,7,150188,6,1,85.71428571428571,success
uteka.ru,11,129129,11,0,100.0,success
divan.ru,100,141573,11,89,11.0,success
lenta.com,100,147695,99,1,99.0,success
officemag.ru,88,152674,78,10,88.63636363636364,success
xcom-shop.ru,87,179401,72,15,82.75862068965517,success
holodilnik.ru,100,73547,88,12,88.0,success
regard.ru,100,201870,85,15,85.0,success
komus.ru,100,242805,6,94,6.0,success
hoff.ru,94,268492,70,24,74.46808510638297,success
perekrestok.ru,100,316594,94,6,94.0,success
sportmaster.ru,87,500297,29,58,33.33333333333333,success
technopark.ru,24,281076,22,2,91.66666666666666,success
santehnika-online.ru,31,382193,23,8,74.19354838709677,success
goldapple.ru,99,451530,92,7,92.92929292929293,success
sima-land.ru,100,473260,26,74,26.0,success
citilink.ru,93,407274,83,10,89.24731182795699,success
exist.ru,100,269239,81,19,81.0,success
vitaexpress.ru,100,545788,99,1,99.0,success
tsum.ru,42,571464,35,7,83.33333333333334,success
letu.ru,96,379548,88,8,91.66666666666666,success
lamoda.ru,100,722194,49,51,49.0,success
stockmann.ru,8,744540,8,0,100.0,success
chitai-gorod.ru,100,0,0,100,0.0,empty_sitemap
dns-shop.ru,100,943290,100,0,100.0,success
eldorado.ru,84,1255949,84,0,100.0,success
labirint.ru,99,1298038,9,90,9.090909090909092,success
etm.ru,100,0,0,100,0.0,empty_sitemap
kuper.ru,100,2099497,11,89,11.0,success
megapteka.ru,100,0,0,100,0.0,empty_sitemap
stolichki.ru,100,3121555,84,16,84.0,success
vseinstrumenti.ru,100,7037440,99,1,99.0,success
flowwow.com,100,1683735,8,92,8.0,success
autodoc.ru,100,4909650,65,35,65.0,success
farmlend.ru,100,5903944,85,15,85.0,success
eapteka.ru,100,6602823,89,11,89.0,success
mvideo.ru,100,6298441,93,7,93.0,success
chipdip.ru,100,0,0,100,0.0,empty_sitemap
gorzdrav.org,100,12043443,91,9,91.0,success
planetazdorovo.ru,100,14662435,12,88,12.0,success
mosautoshina.ru,100,22856403,0,100,0.0,success
